run_name,count,area_at_50pct_iou50,w_iou50,b_iou50,area_at_50pct_iou85,w_iou85,b_iou85
clean,21155,119.743934,0.719208,-3.441664,201.702410,0.668726,-3.548793
scanned,21328,909.492655,0.916847,-6.246374,6803.157676,0.804352,-7.098522
